# 外国高校名
# 教育部认证院校查询 https://www.smartedu.cn/home/servicehall?name=RZYXCX
# 
# 中文名称	外文名称	国家

波兰科学院哥白尼天文中心	Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk	波兰
布尔奇科特区国际大学	International University Brcko district Bosnia and Herzegovina	波斯尼亚和黑塞哥维那
巴尼亚卢卡独立大学	Nezavisni univerzitet Banja Luka	波斯尼亚和黑塞哥维那
玻利维亚天主教大学	Universidad Católica Boliviana "San Pablo"	玻利维亚
白俄罗斯-俄罗斯大学	Белорусско-Российский университет	白俄罗斯
白俄罗斯共和国军事学院	Военная академия Республики Беларусь	白俄罗斯
白俄罗斯国立大学	Белорусский государственный университет	白俄罗斯
白俄罗斯国立工艺大学	Белорусский государственный технологический университет	白俄罗斯
白俄罗斯国立技术大学	Белорусский национальный технический университет	白俄罗斯
白俄罗斯国立交通大学	Белорусский государственный университет транспорта	白俄罗斯
白俄罗斯国立经济大学	Белорусский государственный экономический университет	白俄罗斯
白俄罗斯国立农业技术大学	Белорусский государственный аграрный технический университет	白俄罗斯
白俄罗斯国立体育大学	Белорусский государственный университет физической культуры	白俄罗斯
白俄罗斯国立文化艺术大学	Белорусский государственный университет культуры и искусств	白俄罗斯
白俄罗斯国立信息和无线电电子大学	Белорусский государственный университет информатики и радиоэлектроники	白俄罗斯
白俄罗斯国立艺术学院	Белорусская государственная академия искусств	白俄罗斯
白俄罗斯国立音乐学院	Белорусская государственная академия музыки	白俄罗斯
布列斯特国立技术大学	Брестский государственный технический университет	白俄罗斯
白俄罗斯国立师范大学	Белорусский государственный педагогический университет имени Максима Танка	白俄罗斯
白俄罗斯国家科学院热交换与质量交换研究所	Институт тепло- и массообмена имени А.В. Лыкова НАН Беларуси	白俄罗斯
白俄罗斯共和国边防学院	Институт пограничной службы Республики Беларусь	白俄罗斯
布列斯特国立大学	Брестский государственный университет имени А.С.Пушкина	白俄罗斯
巴拉诺维奇国立大学	Барановичский государственный университет	白俄罗斯
白俄罗斯国家科学院物理技术研究所	Физико-Технический Институт Национальной академии наук Беларуси	白俄罗斯
白俄罗斯国立农业学院	Белорусская государственная орденов Октябрьской Революции и Трудового Красного Знамени сельскохозяйственная академия	白俄罗斯
白俄罗斯共和国内务部学院	Aкадемия Министерства Внутренних дел Республики Беларусь	白俄罗斯
白俄罗斯国家科学院经济研究所	Институт экономики Национальной академии наук Беларуси	白俄罗斯
波列西耶国立大学	Полесский государственный университет	白俄罗斯
